ORIGEN,NRO.,AÑO,TIPO,CARÁTULA,NRO. DAE / DADO CUENTA,MESA DE ENTRADAS,ORDEN DEL DÍA,SANCIONES/SITUACIÓN EXP,LEY – FECHA,COMUNICACIÓN,FECHA_ARCHIVO
PE,237,2026,AC,MENSAJE N° 222/26 QUE SOLICITA ACUERDO PARA DESIGNAR CONJUECES DE LOS JUZGADOS NACIONALES DE PRIMERA INSTANCIA DEL TRABAJO DE LA JURISDICCION DE LA CAMARA NACIONAL DE APELACIONES DEL TRABAJO DE LA CAPITAL FEDERAL., 25  -, 17/07/2026 -,,              , - ,,
PE,236,2026,AC,MENSAJE N° 221/26 QUE SOLICITA ACUERDO PARA DESIGNAR CONJUECES DE LOS TRIBUNALES ORALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL., 25  -, 17/07/2026 -,,              , - ,,
PE,233,2026,AC,"MENSAJE N° 218/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL FEDERAL N° 6 DE LA CAPITAL FEDERAL, AL DR. RAMIRO VELASCO.", 24 16/07/2026 -, 13/07/2026 -,,              , - ,,
PE,232,2026,AC,"MENSAJE N° 217/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZA DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL FEDERAL N° 4 DE LA CAPITAL FEDERAL, A LA DRA. VALERIA ALEJANDRA RICO.", 24 16/07/2026 -, 13/07/2026 -,,              , - ,,
PE,231,2026,AC,"MENSAJE N° 216/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL DE LA CAPITAL FEDERAL, SALA I, AL DR. PABLO YADAROLA.

", 24 16/07/2026 -, 13/07/2026 -,,              , - ,,
PE,230,2026,AC,"MENSAJE N° 215/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO CIVIL N° 26 DE LA CAPITAL FEDERAL, AL DR. SERGIO BUITRAGO.", 24 16/07/2026 -, 13/07/2026 -,,              , - ,,
PE,229,2026,AC,"MENSAJE N° 214/26 QUE SOLICITA ACUERDO PARA DESIGNAR VOCAL DE LA CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL FEDERAL DE LA CAPITAL FEDERAL, SALA I, AL DR. PABLO DANIEL BERTUZZI.

", 24 16/07/2026 -, 13/07/2026 -,,              , - ,,
PE,228,2026,AC,"MENSAJE N° 213/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DE CAMARA DEL TRIBUNAL ORAL EN LO CRIMINAL FEDERAL N° 6 DE LA CAPITAL FEDERAL, AL DR. SANTIAGO JUAN SCHIOPETTO.

", 24 16/07/2026 -, 13/07/2026 -,,              , - ,,
PE,222,2026,AC,"MENSAJE N° 211/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 27, A LA DRA. ORNELLA ROMINA RIGGITANO.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,221,2026,AC,"MENSAJE N° 210/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 7, AL DR. MATIAS EZEQUIEL EIDEM.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,220,2026,AC,"MENSAJE N° 209/26 QUE SOLICITA ACUERDO PARA DESIGNAR JUEZ DEL JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO CONTENCIOSO ADMINISTRATIVO FEDERAL N° 7 DE LA CAPITAL FEDERAL, AL DR. LEONARDO MARCO TOIA.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
PE,219,2026,AC,"MENSAJE N° 208/26 QUE SOLICITA ACUERDO PARA DESIGNAR FISCAL ANTE LOS JUZGADOS NACIONALES EN LO CRIMINAL Y CORRECCIONAL DE LA CAPITAL FEDERAL, FISCALIA N° 35, AL DR. JUAN NOEL VARELA.

", 23 16/07/2026 -, 25/06/2026 -,,              , - ,,
